year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2025,ARI,Arizona Diamondbacks,Chase Field,2393973,29555,80,NA,NA,Chase Field,48633,1998,0,0,NA,NA
2025,ATH,Athletics,Sutter Health Park,768464,9487,76,NA,NA,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2025,ATL,Atlanta Braves,Truist Park,2903167,35842,76,NA,NA,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2025,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1803655,22267,75,NA,NA,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2025,BOS,Boston Red Sox,Fenway Park,2776496,34278,89,NA,NA,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2025,CHC,Chicago Cubs,Wrigley Field,3017983,37259,92,NA,NA,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2025,CWS,Chicago White Sox,Guaranteed Rate Field,1445738,17849,60,NA,NA,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2025,CIN,Cincinnati Reds,Great American Ball Park,2170963,26802,83,NA,NA,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2025,CLE,Cleveland Guardians,Progressive Field,2051360,25325,88,NA,NA,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2025,COL,Colorado Rockies,Coors Field,2404613,29687,43,NA,NA,Coors Field,50398,1995,0,0,NA,NA
2025,DET,Detroit Tigers,Comerica Park,2413442,29796,87,NA,NA,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2025,HOU,Houston Astros,Daikin Park,2727877,33677,87,NA,NA,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2025,KC,Kansas City Royals,Kauffman Stadium,1748801,21590,82,NA,NA,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2025,LAA,Los Angeles Angels,Angel Stadium of Anaheim,2615506,32290,72,NA,NA,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2025,LAD,Los Angeles Dodgers,Dodger Stadium,4012470,49537,93,NA,NA,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2025,MIA,Miami Marlins,loanDepot park,1156880,14282,79,NA,NA,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2025,MIL,Milwaukee Brewers,American Family Field,2650089,32717,97,NA,NA,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2025,MIN,Minnesota Twins,Target Field,1768728,21836,70,NA,NA,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2025,NYM,New York Mets,Citi Field,3184570,39316,83,NA,NA,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2025,NYY,New York Yankees,Yankee Stadium III,3392659,41885,94,NA,NA,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
