team,team_abbr,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022
ARIZONA,ARI,,,,,,,,$119.80 ,$124.32 ,$120.32 ,$112.43 ,$115.17 ,119.84,132.92,145.97,147.71,$154.71,$162.84 ,114.24,115.24,120.96,145.94,122.53,126.89,126.89,$132.10,145.58,142.42,$144.54,$144.25,152.3
ATLANTA,ATL,$68.14 ,$86.10 ,$97.04 ,$113.00 ,$113.00 ,$121.74 ,$135.72 ,$134.72 ,$144.34 ,$160.12 ,$156.08 ,$155.35 ,154.55,144.55,145.55,145.78,$150.68,$157.19 ,157.69,157.69,169.02,171.74,170.78,171.62,174.06,$178.02,217.84,222.74,$236.89,$242.96,255.82
BALTIMORE,BAL,$73.92 ,$82.60 ,$102.98 ,$105.18 ,$113.56 ,$113.56 ,$124.58 ,$135.58 ,$139.28 ,$138.60 ,$131.22 ,$141.42 ,148.11,157.62,158.62,158.62,$159.79,$165.40 ,163.68,172.18,174.1,176.04,169.06,173.39,163.39,$183.34,187.8,187.8,$148.94,$245.77,203.06
BOSTON,BOS,$94.02 ,$94.48 ,$100.18 ,$102.54 ,$112.54 ,$117.72 ,$129.22 ,$144.52 ,$160.20 ,$168.82 ,$209.44 ,$228.73 ,238.75,263.09,276.24,287.84,$313.83,$320.71 ,326.45,$334.78 ,$339.01 ,$336.99 ,$336.99 ,$350.78 ,$350.86,$360.66,345.88,354.54,$361.43,$376.49,385.37
CALIFORNIA/ANAHEIM/LA,LAA,$76.54 ,$84.58 ,$84.58 ,$90.24 ,$90.24 ,$92.26 ,$101.72 ,$113.32 ,$121.88 ,$117.88 ,$110.80 ,$113.76 ,130.21,133.01,125.78,134.32,$136.63,$140.42 ,141.18,131.8,129.5,159.82,196.16,195.6,190.16,$210.80,194.02,197.66,$197.53,$193.66,208.1
CHICAGO CUBS,CHC,$83.40 ,$96.98 ,$103.96 ,$108.98 ,$112.68 ,$116.48 ,$121.02 ,$120.18 ,$134.84 ,$135.32 ,$166.25 ,$181.69 ,172.84,194.31,210.01,219.21,$219.21,$251.96 ,305,329.74,305.6,300.29,298.2,304.64,300.73,$312.32,368.28,370.12,$363.65,$364.38,364.83
CHICAGO WHITE SOX,CWS,$81.54 ,$96.80 ,$97.80 ,$106.14 ,$110.72 ,$118.94 ,$115.32 ,$120.92 ,$123.16 ,$122.70 ,$138.59 ,$159.09 ,159.09,171.35,188.07,191.26,$205.63,$214.61 ,224.11,249.6,258.68,222.98,210.18,210.18,208.18,$229.50,216.9,223.5,$216.78,$253.25,274.77
CINCINNATI,CIN,$73.84 ,$72.30 ,$77.30 ,$79.30 ,$81.30 ,$81.30 ,$82.48 ,$89.98 ,$96.34 ,$104.46 ,$129.14 ,$127.14 ,140.52,140.6,145.1,156.6,$158.35,$167.14 ,144.76,151.26,162.24,165.94,165.39,168.12,166.62,$166.54,191.06,204.56,$217.55,$218.20,214.36
CLEVELAND,CLE,$69.04 ,$74.30 ,$87.30 ,$103.74 ,$99.74 ,$115.08 ,$116.66 ,$126.90 ,$133.22 ,$142.82 ,$150.81 ,$161.31 ,161.31,152.65,156.18,157.66,$156.77,$192.38 ,180.49,180.49,170.96,173.66,157.36,162.24,166.52,$179.44,210.16,219.64,$226.41,$244.50,217.87
COLORADO,COL,,,$81.14 ,$82.10 ,$99.44 ,$103.44 ,$116.54 ,$132.66 ,$135.16 ,$130.50 ,$138.34 ,$141.34 ,141.34,140.9,141.68,140.88,$148.00,$160.00 ,161,161,161,184.2,196.6,201.6,196.6,$193.96,198.06,214.64,$214.27,$213.63,208.9
DETROIT,DET,$83.49 ,$82.94 ,$92.18 ,$103.44 ,$96.40 ,$109.40 ,$108.10 ,$102.10 ,$108.42 ,$165.32 ,$160.80 ,$160.76 ,157.44,149.61,157.93,162.93,$166.80,$190.13 ,205.02,172.92,207.28,233.49,207.42,219.88,213.03,$214.52,201.6,212.22,$214.18,$215.04,216.74
FLORIDA/Miami,MIA,,,$98.82 ,$92.18 ,$86.10 ,$92.98 ,$93.06 ,$102.60 ,$100.02 ,$104.14 ,$110.84 ,$110.84 ,112.38,112.88,147.04,154.12,$155.78,$164.26 ,170.24,170.24,170.24,242.47,230.05,221.02,224.83,$214.22,229.02,175.68,$175.76,$174.54,186.06
HOUSTON,HOU,$76.82 ,$85.54 ,$80.54 ,$86.64 ,$87.64 ,$94.60 ,$105.60 ,$108.52 ,$120.30 ,$161.76 ,$143.19 ,$157.81 ,165.45,176.99,182.64,191.78,$195.59,$215.43 ,209.93,212.16,221.36,224.33,224.33,215.9,220.28,$242.00,262.98,313.38,$337.39,$347.82,354.72
KANSAS CITY,KC,$70.04 ,$86.30 ,$86.30 ,$98.80 ,$98.20 ,$96.96 ,$85.10 ,$96.26 ,$110.18 ,$100.68 ,$119.55 ,$113.70 ,112.03,120.67,119.85,120.35,$123.42,$151.16 ,161.52,161.52,159.8,185.33,172.32,191.91,212.04,$202.52,233.3,230.34,$225.94,$225.26,243.62
LOS ANGELES DODGERS,LAD,$74.48 ,$87.60 ,$88.60 ,$90.72 ,$90.72 ,$96.76 ,$104.14 ,$111.84 ,$123.60 ,$140.96 ,$142.04 ,$145.53 ,147.53,151.71,158.98,175.36,$210.63,$229.14 ,221.64,221.64,226.36,213.36,204.95,217.69,218.94,$234.10,268.02,274.98,$298.34,$307.88,326.91
MILWAUKEE,MIL,$77.12 ,$87.58 ,$91.70 ,$87.54 ,$86.54 ,$85.98 ,$94.32 ,$97.12 ,$95.82 ,$100.68 ,$124.08 ,$130.76 ,128.96,124.96,130.96,131.94,$134.77,$141.52 ,145.92,160.4,160.4,171.52,176.8,176.84,182.28,$190.28,210.4,209.76,$232.09,$239.76,251.88
