year,attendance_game,wins,fci
2000,21591,69,107.72
2001,30430,62,150.05
2002,22312,72,151.08
2003,20207,75,147.13
2004,19750,72,143.31
2005,22435,67,143.31
2006,22982,67,138.81
2007,21594,68,139.77
2008,19865,67,146.32
2009,19480,62,135.06
2010,19919,57,126.56
2011,23956,72,127.71
2012,25826,79,152.41
2013,27862,94,164.84
2014,30155,88,169.28
2015,30847,98,175.95
2016,27768,78,195.84
2017,23697,75,NA
2018,18316,82,178.72
2019,18413,69,182.42
2022,15524,62,199.23
2023,20131,76,NA
2024,21239,76,NA
2025,18827,71,NA
