year,team_abbr,wins
2025,ARI,80
2024,ARI,89
2023,ARI,84
2022,ARI,74
2021,ARI,52
2020,ARI,25
2019,ARI,85
2018,ARI,82
2017,ARI,93
2016,ARI,69
2015,ARI,79
2014,ARI,64
2013,ARI,81
2012,ARI,81
2011,ARI,94
2010,ARI,65
2009,ARI,70
2008,ARI,82
2007,ARI,90
2006,ARI,76
2005,ARI,77
2004,ARI,51
2003,ARI,84
2002,ARI,98
2001,ARI,92
2000,ARI,85
2025,ATH,76
2024,ATH,69
2023,ATH,50
2022,ATH,60
2021,ATH,86
2020,ATH,36
2019,ATH,97
2018,ATH,97
2017,ATH,75
2016,ATH,69
2015,ATH,68
2014,ATH,88
2013,ATH,96
2012,ATH,94
2011,ATH,74
2010,ATH,81
2009,ATH,75
2008,ATH,75
2007,ATH,76
2006,ATH,93
2005,ATH,88
2004,ATH,91
2003,ATH,96
2002,ATH,103
2001,ATH,102
2000,ATH,91
2025,ATL,76
2024,ATL,89
2023,ATL,104
2022,ATL,101
2021,ATL,88
2020,ATL,35
2019,ATL,97
2018,ATL,90
2017,ATL,72
2016,ATL,68
2015,ATL,67
2014,ATL,79
2013,ATL,96
2012,ATL,94
2011,ATL,89
2010,ATL,91
2009,ATL,86
2008,ATL,72
2007,ATL,84
2006,ATL,79
2005,ATL,90
2004,ATL,96
2003,ATL,101
2002,ATL,101
2001,ATL,88
2000,ATL,95
2025,BAL,75
2024,BAL,91
2023,BAL,101
2022,BAL,83
2021,BAL,52
2020,BAL,25
2019,BAL,54
2018,BAL,47
2017,BAL,75
2016,BAL,89
2015,BAL,81
2014,BAL,96
2013,BAL,85
2012,BAL,93
2011,BAL,69
2010,BAL,66
2009,BAL,64
2008,BAL,68
2007,BAL,69
2006,BAL,70
2005,BAL,74
2004,BAL,78
2003,BAL,71
2002,BAL,67
2001,BAL,63
2000,BAL,74
2025,BOS,89
2024,BOS,81
2023,BOS,78
2022,BOS,78
2021,BOS,92
2020,BOS,24
2019,BOS,84
2018,BOS,108
2017,BOS,93
2016,BOS,93
2015,BOS,78
2014,BOS,71
2013,BOS,97
2012,BOS,69
2011,BOS,90
2010,BOS,89
2009,BOS,95
2008,BOS,95
2007,BOS,96
2006,BOS,86
2005,BOS,95
2004,BOS,98
2003,BOS,95
2002,BOS,93
2001,BOS,82
2000,BOS,85
2025,CHC,92
2024,CHC,83
2023,CHC,83
2022,CHC,74
2021,CHC,71
2020,CHC,34
2019,CHC,84
2018,CHC,95
2017,CHC,92
2016,CHC,103
2015,CHC,97
2014,CHC,73
2013,CHC,66
2012,CHC,61
2011,CHC,71
2010,CHC,75
2009,CHC,83
2008,CHC,97
2007,CHC,85
2006,CHC,66
2005,CHC,79
2004,CHC,89
2003,CHC,88
2002,CHC,67
2001,CHC,88
2000,CHC,65
2025,CWS,60
2024,CWS,41
2023,CWS,61
2022,CWS,81
2021,CWS,93
2020,CWS,35
2019,CWS,72
2018,CWS,62
2017,CWS,67
2016,CWS,78
2015,CWS,76
2014,CWS,73
2013,CWS,63
2012,CWS,85
2011,CWS,79
2010,CWS,88
2009,CWS,79
2008,CWS,89
2007,CWS,72
2006,CWS,90
2005,CWS,99
2004,CWS,83
2003,CWS,86
2002,CWS,81
2001,CWS,83
2000,CWS,95
2025,CIN,83
2024,CIN,77
2023,CIN,82
2022,CIN,62
2021,CIN,83
2020,CIN,31
2019,CIN,75
2018,CIN,67
2017,CIN,68
2016,CIN,68
2015,CIN,64
2014,CIN,76
2013,CIN,90
2012,CIN,97
2011,CIN,79
2010,CIN,91
2009,CIN,78
2008,CIN,74
2007,CIN,72
2006,CIN,80
2005,CIN,73
2004,CIN,76
2003,CIN,69
2002,CIN,78
2001,CIN,66
2000,CIN,85
2025,CLE,88
2024,CLE,92
2023,CLE,76
2022,CLE,92
2021,CLE,80
2020,CLE,35
2019,CLE,93
2018,CLE,91
2017,CLE,102
2016,CLE,94
2015,CLE,81
2014,CLE,85
2013,CLE,92
2012,CLE,68
2011,CLE,80
2010,CLE,69
2009,CLE,65
2008,CLE,81
2007,CLE,96
2006,CLE,78
2005,CLE,93
2004,CLE,80
2003,CLE,68
2002,CLE,74
2001,CLE,91
2000,CLE,90
2025,COL,43
2024,COL,61
2023,COL,59
2022,COL,68
2021,COL,74
2020,COL,26
2019,COL,71
2018,COL,91
2017,COL,87
2016,COL,75
2015,COL,68
2014,COL,66
2013,COL,74
2012,COL,64
2011,COL,73
2010,COL,83
2009,COL,92
2008,COL,74
2007,COL,90
2006,COL,76
2005,COL,67
2004,COL,68
2003,COL,74
2002,COL,73
2001,COL,73
2000,COL,82
2025,DET,87
2024,DET,86
2023,DET,78
2022,DET,66
2021,DET,77
2020,DET,23
2019,DET,47
2018,DET,64
2017,DET,64
